url,centroid_sim
http://travellingdijuca.com/tag/tren-a-brujas,0.7867716
http://travellingdijuca.com/tag/stockholms-stadshus,0.777351
http://thismustbethetrip.com/weekend-a-lisbona-cosa-vedere-in-due-giorni,0.76651347
http://bartzap.com/2016/12/28/trekking-di-musim-hujan?_wpnonce=e56ed25738&like_comment=4551,0.7618549
http://travellerblog.eu/bremerhaven-tour-de-fisch-auswandererhaus,0.7525467
http://megapixeltravel.com/category/canada/ontario/perth,0.74262536
http://blog.taketours.com/tag/marthas-vineyard,0.73824644
http://www.wopular.com/newsracks/international+spies,0.7367579
http://trip-suggest.com/north-korea/p-yongan-namdo/aesanp-o,0.7326053
http://www.fodors.com/community/mexico-and-central-america/hopefulists-2010-travelogue-yucat-n-chiapas-and-lake-atitl-n-guatemala-852094,0.7307991
http://www.ananomundo.com.br/nw/alsacia-franca-e-breisgau-alemanha-um-roteiro-legal,0.73064375
http://traveltriangle.com/blog/beaches-near-quezon-city,0.72949743
http://www.portergunung.com/2018/03/simaksi-online-pendakian-gunung_27.html,0.72901064
http://www.ixigo.com/travel-guide/challes,0.7265141
http://lifeonebigadventure.com/2020/04/15/how-to-travel-when-you-cant?_wpnonce=0179a24c68&like_comment=13457,0.72507733
http://trip-suggest.com/croatia/zadarska/obrovac,0.72487557
http://reizenmetdemeisjes.com/category/reizen/europa,0.7247314
http://thewanderlostway.com/zanzibar-the-wanderlost-way,0.7239927
http://trip-suggest.com/guinea/boke-region/kaleta,0.71912897
http://www.ixigo.com/travel-guide/goras,0.7189462
http://www.destimap.com/index.php?act=place&atype=Off_Road-Tour&p=India,0.7178163
http://traveltriangle.com/blog/pilanesberg-game-reserve,0.7122144
http://www.ixigo.com/how-to-reach-go-from/jodhpur-to-valsad,0.7110509
http://www.ixigo.com/travel-guide/kowale,0.70864964
http://gntc.com.au/2011/10/01/september-30-2011-shopping-tour-saigon,0.7065681
http://www.destimap.com/index.php?act=place&atype=Beaches&p=New-Mexico%2C-United-States,0.6997742
http://sudhagee.com/2012/01/23,0.6981089
http://www.ixigo.com/how-to-reach-go-from/kolkata-to-vijayanagar,0.6973151
http://sportfishing-costarica.com/sea-bass,0.69720244
http://loyaltytraveler.boardingarea.com/2018/07/30/towering-over-old-krakow-poland,0.6948054
http://travellersoul76.com/category/holidays,0.6923442
http://www.enjoylivingabroad.com/my-blog/archives/02-2014,0.69212276
http://theculturetrip.com/europe/poland/articles/a-regional-guide-to-polish-cuisine,0.6918596
